id,Name,Type,Total,Health Points,Attack,Defense,Special Attack,Special Defense,Speed,Generation,Type1,Type2
358,Chimecho,Psychic,425,65,50,70,95,80,65,3,Psychic,None
359,Absol,Dark,465,65,130,60,75,60,75,3,Dark,None
359,Mega Absol,Dark,565,65,150,60,115,60,115,3,Dark,None
360,Wynaut,Psychic,260,95,23,48,23,48,23,3,Psychic,None
361,Snorunt,Ice,300,50,50,50,50,50,50,3,Ice,None
362,Glalie,Ice,480,80,80,80,80,80,80,3,Ice,None
362,Mega Glalie,Ice,580,80,120,80,120,80,100,3,Ice,None
363,Spheal,Ice Water,290,70,40,50,55,50,25,3,Ice,Water
364,Sealeo,Ice Water,410,90,60,70,75,70,45,3,Ice,Water
365,Walrein,Ice Water,530,110,80,90,95,90,65,3,Ice,Water
366,Clamperl,Water,345,35,64,85,74,55,32,3,Water,None
367,Huntail,Water,485,55,104,105,94,75,52,3,Water,None
368,Gorebyss,Water,485,55,84,105,114,75,52,3,Water,None
369,Relicanth,Water Rock,485,100,90,130,45,65,55,3,Water,Rock
370,Luvdisc,Water,330,43,30,55,40,65,97,3,Water,None
371,Bagon,Dragon,300,45,75,60,40,30,50,3,Dragon,None
372,Shelgon,Dragon,420,65,95,100,60,50,50,3,Dragon,None
373,Salamence,Dragon Flying,600,95,135,80,110,80,100,3,Dragon,Flying
374,Beldum,Steel Psychic,300,40,55,80,35,60,30,3,Steel,Psychic
375,Metang,Steel Psychic,420,60,75,100,55,80,50,3,Steel,Psychic
376,Metagross,Steel Psychic,600,80,135,130,95,90,70,3,Steel,Psychic
377,Regirock,Rock,580,80,100,200,50,100,50,3,Rock,None
378,Regice,Ice,580,80,50,100,100,200,50,3,Ice,None
379,Registeel,Steel,580,80,75,150,75,150,50,3,Steel,None
380,Latias,Dragon Psychic,600,80,80,90,110,130,110,3,Dragon,Psychic
381,Latios,Dragon Psychic,600,80,90,80,130,110,110,3,Dragon,Psychic
382,Kyogre,Water,670,100,100,90,150,140,90,3,Water,None
383,Groudon,Ground,670,100,150,140,100,90,90,3,Ground,None
384,Rayquaza,Dragon Flying,680,105,150,90,150,90,95,3,Dragon,Flying
385,Jirachi,Steel Psychic,600,100,100,100,100,100,100,3,Steel,Psychic
386,Deoxys Normal Forme,Psychic,600,50,150,50,150,50,150,3,Psychic,None
386,Deoxys Attack Forme,Psychic,600,50,180,20,180,20,150,3,Psychic,None
386,Deoxys Defense Forme,Psychic,600,50,70,160,70,160,90,3,Psychic,None
386,Deoxys Speed Forme,Psychic,600,50,95,90,95,90,180,3,Psychic,None
387,Turtwig,Grass,318,55,68,64,45,55,31,4,Grass,None
388,Grotle,Grass,405,75,89,85,55,65,36,4,Grass,None
389,Torterra,Grass Ground,525,95,109,105,75,85,56,4,Grass,Ground
390,Chimchar,Fire,309,44,58,44,58,44,61,4,Fire,None
391,Monferno,Fire Fighting,405,64,78,52,78,52,81,4,Fire,Fighting
392,Infernape,Fire Fighting,534,76,104,71,104,71,108,4,Fire,Fighting
393,Piplup,Water,314,53,51,53,61,56,40,4,Water,None
394,Prinplup,Water,405,64,66,68,81,76,50,4,Water,None
395,Empoleon,Water Steel,530,84,86,88,111,101,60,4,Water,Steel
396,Starly,Normal Flying,245,40,55,30,30,30,60,4,Normal,Flying
397,Staravia,Normal Flying,340,55,75,50,40,40,80,4,Normal,Flying
398,Staraptor,Normal Flying,485,85,120,70,50,60,100,4,Normal,Flying
399,Bidoof,Normal,250,59,45,40,35,40,31,4,Normal,None
400,Bibarel,Normal Water,410,79,85,60,55,60,71,4,Normal,Water
401,Kricketot,Bug,194,37,25,41,25,41,25,4,Bug,None
402,Kricketune,Bug,384,77,85,51,55,51,65,4,Bug,None
403,Shinx,Electric,263,45,65,34,40,34,45,4,Electric,None
404,Luxio,Electric,363,60,85,49,60,49,60,4,Electric,None
405,Luxray,Electric,523,80,120,79,95,79,70,4,Electric,None
406,Budew,Grass Poison,280,40,30,35,50,70,55,4,Grass,Poison
407,Roserade,Grass Poison,515,60,70,65,125,105,90,4,Grass,Poison
408,Cranidos,Rock,350,67,125,40,30,30,58,4,Rock,None
409,Rampardos,Rock,495,97,165,60,65,50,58,4,Rock,None
410,Shieldon,Rock Steel,350,30,42,118,42,88,30,4,Rock,Steel
411,Bastiodon,Rock Steel,495,60,52,168,47,138,30,4,Rock,Steel
412,Burmy,Bug,224,40,29,45,29,45,36,4,Bug,None
413,Wormadam Plant Cloak,Bug Grass,424,60,59,85,79,105,36,4,Bug,Grass
413,Wormadam Sandy Cloak,Bug Ground,424,60,79,105,59,85,36,4,Bug,Ground
413,Wormadam Trash Cloak,Bug Steel,424,60,69,95,69,95,36,4,Bug,Steel
414,Mothim,Bug Flying,424,70,94,50,94,50,66,4,Bug,Flying
415,Combee,Bug Flying,244,30,30,42,30,42,70,4,Bug,Flying
416,Vespiquen,Bug Flying,474,70,80,102,80,102,40,4,Bug,Flying
417,Pachirisu,Electric,405,60,45,70,45,90,95,4,Electric,None
418,Buizel,Water,330,55,65,35,60,30,85,4,Water,None
419,Floatzel,Water,495,85,105,55,85,50,115,4,Water,None
420,Cherubi,Grass,275,45,35,45,62,53,35,4,Grass,None
421,Cherrim,Grass,450,70,60,70,87,78,85,4,Grass,None
422,Shellos,Water,325,76,48,48,57,62,34,4,Water,None
423,Gastrodon,Water Ground,475,111,83,68,92,82,39,4,Water,Ground
424,Ambipom,Normal,482,75,100,66,60,66,115,4,Normal,None
425,Drifloon,Ghost Flying,348,90,50,34,60,44,70,4,Ghost,Flying
426,Drifblim,Ghost Flying,498,150,80,44,90,54,80,4,Ghost,Flying
427,Buneary,Normal,350,55,66,44,44,56,85,4,Normal,None
428,Lopunny,Normal,480,65,76,84,54,96,105,4,Normal,None
429,Mismagius,Ghost,495,60,60,60,105,105,105,4,Ghost,None
430,Honchkrow,Dark Flying,505,100,125,52,105,52,71,4,Dark,Flying
431,Glameow,Normal,310,49,55,42,42,37,85,4,Normal,None
432,Purugly,Normal,452,71,82,64,64,59,112,4,Normal,None
433,Chingling,Psychic,285,45,30,50,65,50,45,4,Psychic,None
434,Stunky,Poison Dark,329,63,63,47,41,41,74,4,Poison,Dark
435,Skuntank,Poison Dark,479,103,93,67,71,61,84,4,Poison,Dark
436,Bronzor,Steel Psychic,300,57,24,86,24,86,23,4,Steel,Psychic
437,Bronzong,Steel Psychic,500,67,89,116,79,116,33,4,Steel,Psychic
438,Bonsly,Rock,290,50,80,95,10,45,10,4,Rock,None
439,Mime Jr.,Psychic Fairy,310,20,25,45,70,90,60,4,Psychic,Fairy
440,Happiny,Normal,220,100,5,5,15,65,30,4,Normal,None
441,Chatot,Normal Flying,411,76,65,45,92,42,91,4,Normal,Flying
442,Spiritomb,Ghost Dark,485,50,92,108,92,108,35,4,Ghost,Dark
443,Gible,Dragon Ground,300,58,70,45,40,45,42,4,Dragon,Ground
444,Gabite,Dragon Ground,410,68,90,65,50,55,82,4,Dragon,Ground
445,Garchomp,Dragon Ground,600,108,130,95,80,85,102,4,Dragon,Ground
445,Mega Garchomp,Dragon Ground,700,108,170,115,120,95,92,4,Dragon,Ground
446,Munchlax,Normal,390,135,85,40,40,85,5,4,Normal,None
447,Riolu,Fighting,285,40,70,40,35,40,60,4,Fighting,None
448,Lucario,Fighting Steel,525,70,110,70,115,70,90,4,Fighting,Steel
448,Mega Lucario,Fighting Steel,625,70,145,88,140,70,112,4,Fighting,Steel
449,Hippopotas,Ground,330,68,72,78,38,42,32,4,Ground,None
450,Hippowdon,Ground,525,108,112,118,68,72,47,4,Ground,None
451,Skorupi,Poison Bug,330,40,50,90,30,55,65,4,Poison,Bug
452,Drapion,Poison Dark,500,70,90,110,60,75,95,4,Poison,Dark
453,Croagunk,Poison Fighting,300,48,61,40,61,40,50,4,Poison,Fighting
454,Toxicroak,Poison Fighting,490,83,106,65,86,65,85,4,Poison,Fighting
455,Carnivine,Grass,454,74,100,72,90,72,46,4,Grass,None
456,Finneon,Water,330,49,49,56,49,61,66,4,Water,None
457,Lumineon,Water,460,69,69,76,69,86,91,4,Water,None
458,Mantyke,Water Flying,345,45,20,50,60,120,50,4,Water,Flying
459,Snover,Grass Ice,334,60,62,50,62,60,40,4,Grass,Ice
460,Abomasnow,Grass Ice,494,90,92,75,92,85,60,4,Grass,Ice
460,Mega Abomasnow,Grass Ice,594,90,132,105,132,105,30,4,Grass,Ice
461,Weavile,Dark Ice,510,70,120,65,45,85,125,4,Dark,Ice
462,Magnezone,Electric Steel,535,70,70,115,130,90,60,4,Electric,Steel
463,Lickilicky,Normal,515,110,85,95,80,95,50,4,Normal,None
464,Rhyperior,Ground Rock,535,115,140,130,55,55,40,4,Ground,Rock
465,Tangrowth,Grass,535,100,100,125,110,50,50,4,Grass,None
466,Electivire,Electric,540,75,123,67,95,85,95,4,Electric,None
467,Magmortar,Fire,540,75,95,67,125,95,83,4,Fire,None
468,Togekiss,Fairy Flying,545,85,50,95,120,115,80,4,Fairy,Flying
469,Yanmega,Bug Flying,515,86,76,86,116,56,95,4,Bug,Flying
470,Leafeon,Grass,525,65,110,130,60,65,95,4,Grass,None
471,Glaceon,Ice,525,65,60,110,130,95,65,4,Ice,None
472,Gliscor,Ground Flying,510,75,95,125,45,75,95,4,Ground,Flying
473,Mamoswine,Ice Ground,530,110,130,80,70,60,80,4,Ice,Ground
474,Porygon-Z,Normal,535,85,80,70,135,75,90,4,Normal,None
475,Gallade,Psychic Fighting,518,68,125,65,65,115,80,4,Psychic,Fighting
476,Probopass,Rock Steel,525,60,55,145,75,150,40,4,Rock,Steel
477,Dusknoir,Ghost,525,45,100,135,65,135,45,4,Ghost,None
478,Froslass,Ice Ghost,480,70,80,70,80,70,110,4,Ice,Ghost
479,Rotom,Electric Ghost,440,50,50,77,95,77,91,4,Electric,Ghost
479,Rotom Heat Rotom,Electric Fire,520,50,65,107,105,107,86,4,Electric,Fire
479,Rotom Wash Rotom,Electric Water,520,50,65,107,105,107,86,4,Electric,Water
479,Rotom Frost Rotom,Electric Ice,520,50,65,107,105,107,86,4,Electric,Ice
479,Rotom Fan Rotom,Electric Flying,520,50,65,107,105,107,86,4,Electric,Flying
479,Rotom Mow Rotom,Electric Grass,520,50,65,107,105,107,86,4,Electric,Grass
480,Uxie,Psychic,580,75,75,130,75,130,95,4,Psychic,None
481,Mesprit,Psychic,580,80,105,105,105,105,80,4,Psychic,None
482,Azelf,Psychic,580,75,125,70,125,70,115,4,Psychic,None
483,Dialga,Steel Dragon,680,100,120,120,150,100,90,4,Steel,Dragon
484,Palkia,Water Dragon,680,90,120,100,150,120,100,4,Water,Dragon
485,Heatran,Fire Steel,600,91,90,106,130,106,77,4,Fire,Steel
486,Regigigas,Normal,670,110,160,110,80,110,100,4,Normal,None
487,Giratina Altered Forme,Ghost Dragon,680,150,100,120,100,120,90,4,Ghost,Dragon
487,Giratina Origin Forme,Ghost Dragon,680,150,120,100,120,100,90,4,Ghost,Dragon
488,Cresselia,Psychic,600,120,70,120,75,130,85,4,Psychic,None
489,Phione,Water,480,80,80,80,80,80,80,4,Water,None
490,Manaphy,Water,600,100,100,100,100,100,100,4,Water,None
491,Darkrai,Dark,600,70,90,90,135,90,125,4,Dark,None
492,Shaymin Land Forme,Grass,600,100,100,100,100,100,100,4,Grass,None
492,Shaymin Sky Forme,Grass Flying,600,100,103,75,120,75,127,4,Grass,Flying
493,Arceus,Normal,720,120,120,120,120,120,120,4,Normal,None
494,Victini,Psychic Fire,600,100,100,100,100,100,100,5,Psychic,Fire
495,Snivy,Grass,308,45,45,55,45,55,63,5,Grass,None
496,Servine,Grass,413,60,60,75,60,75,83,5,Grass,None
497,Serperior,Grass,528,75,75,95,75,95,113,5,Grass,None
498,Tepig,Fire,308,65,63,45,45,45,45,5,Fire,None
499,Pignite,Fire Fighting,418,90,93,55,70,55,55,5,Fire,Fighting
500,Emboar,Fire Fighting,528,110,123,65,100,65,65,5,Fire,Fighting
501,Oshawott,Water,308,55,55,45,63,45,45,5,Water,None
502,Dewott,Water,413,75,75,60,83,60,60,5,Water,None
503,Samurott,Water,528,95,100,85,108,70,70,5,Water,None
504,Patrat,Normal,255,45,55,39,35,39,42,5,Normal,None
505,Watchog,Normal,420,60,85,69,60,69,77,5,Normal,None
506,Lillipup,Normal,275,45,60,45,25,45,55,5,Normal,None
507,Herdier,Normal,370,65,80,65,35,65,60,5,Normal,None
508,Stoutland,Normal,500,85,110,90,45,90,80,5,Normal,None
509,Purrloin,Dark,281,41,50,37,50,37,66,5,Dark,None
510,Liepard,Dark,446,64,88,50,88,50,106,5,Dark,None
511,Pansage,Grass,316,50,53,48,53,48,64,5,Grass,None
512,Simisage,Grass,498,75,98,63,98,63,101,5,Grass,None
513,Pansear,Fire,316,50,53,48,53,48,64,5,Fire,None
514,Simisear,Fire,498,75,98,63,98,63,101,5,Fire,None
515,Panpour,Water,316,50,53,48,53,48,64,5,Water,None
516,Simipour,Water,498,75,98,63,98,63,101,5,Water,None
517,Munna,Psychic,292,76,25,45,67,55,24,5,Psychic,None
518,Musharna,Psychic,487,116,55,85,107,95,29,5,Psychic,None
519,Pidove,Normal Flying,264,50,55,50,36,30,43,5,Normal,Flying
520,Tranquill,Normal Flying,358,62,77,62,50,42,65,5,Normal,Flying
521,Unfezant,Normal Flying,488,80,115,80,65,55,93,5,Normal,Flying
522,Blitzle,Electric,295,45,60,32,50,32,76,5,Electric,None
523,Zebstrika,Electric,497,75,100,63,80,63,116,5,Electric,None
524,Roggenrola,Rock,280,55,75,85,25,25,15,5,Rock,None
525,Boldore,Rock,390,70,105,105,50,40,20,5,Rock,None
526,Gigalith,Rock,515,85,135,130,60,80,25,5,Rock,None
527,Woobat,Psychic Flying,313,55,45,43,55,43,72,5,Psychic,Flying
528,Swoobat,Psychic Flying,425,67,57,55,77,55,114,5,Psychic,Flying
529,Drilbur,Ground,328,60,85,40,30,45,68,5,Ground,None
530,Excadrill,Ground Steel,508,110,135,60,50,65,88,5,Ground,Steel
531,Audino,Normal,445,103,60,86,60,86,50,5,Normal,None
532,Timburr,Fighting,305,75,80,55,25,35,35,5,Fighting,None
533,Gurdurr,Fighting,405,85,105,85,40,50,40,5,Fighting,None
534,Conkeldurr,Fighting,505,105,140,95,55,65,45,5,Fighting,None
535,Tympole,Water,294,50,50,40,50,40,64,5,Water,None
536,Palpitoad,Water Ground,384,75,65,55,65,55,69,5,Water,Ground
537,Seismitoad,Water Ground,509,105,95,75,85,75,74,5,Water,Ground
538,Throh,Fighting,465,120,100,85,30,85,45,5,Fighting,None
539,Sawk,Fighting,465,75,125,75,30,75,85,5,Fighting,None
540,Sewaddle,Bug Grass,310,45,53,70,40,60,42,5,Bug,Grass
541,Swadloon,Bug Grass,380,55,63,90,50,80,42,5,Bug,Grass
542,Leavanny,Bug Grass,500,75,103,80,70,80,92,5,Bug,Grass
543,Venipede,Bug Poison,260,30,45,59,30,39,57,5,Bug,Poison
544,Whirlipede,Bug Poison,360,40,55,99,40,79,47,5,Bug,Poison
545,Scolipede,Bug Poison,485,60,100,89,55,69,112,5,Bug,Poison
546,Cottonee,Grass Fairy,280,40,27,60,37,50,66,5,Grass,Fairy
547,Whimsicott,Grass Fairy,480,60,67,85,77,75,116,5,Grass,Fairy
548,Petilil,Grass,280,45,35,50,70,50,30,5,Grass,None
549,Lilligant,Grass,480,70,60,75,110,75,90,5,Grass,None
550,Basculin,Water,460,70,92,65,80,55,98,5,Water,None
551,Sandile,Ground Dark,292,50,72,35,35,35,65,5,Ground,Dark
552,Krokorok,Ground Dark,351,60,82,45,45,45,74,5,Ground,Dark
553,Krookodile,Ground Dark,519,95,117,80,65,70,92,5,Ground,Dark
554,Darumaka,Fire,315,70,90,45,15,45,50,5,Fire,None
555,Darmanitan Standard Mode,Fire,480,105,140,55,30,55,95,5,Fire,None
555,Darmanitan Zen Mode,Fire Psychic,540,105,30,105,140,105,55,5,Fire,Psychic
556,Maractus,Grass,461,75,86,67,106,67,60,5,Grass,None
557,Dwebble,Bug Rock,325,50,65,85,35,35,55,5,Bug,Rock
558,Crustle,Bug Rock,475,70,95,125,65,75,45,5,Bug,Rock
559,Scraggy,Dark Fighting,348,50,75,70,35,70,48,5,Dark,Fighting
560,Scrafty,Dark Fighting,488,65,90,115,45,115,58,5,Dark,Fighting
561,Sigilyph,Psychic Flying,490,72,58,80,103,80,97,5,Psychic,Flying
562,Yamask,Ghost,303,38,30,85,55,65,30,5,Ghost,None
563,Cofagrigus,Ghost,483,58,50,145,95,105,30,5,Ghost,None
564,Tirtouga,Water Rock,355,54,78,103,53,45,22,5,Water,Rock
565,Carracosta,Water Rock,495,74,108,133,83,65,32,5,Water,Rock
566,Archen,Rock Flying,401,55,112,45,74,45,70,5,Rock,Flying
567,Archeops,Rock Flying,567,75,140,65,112,65,110,5,Rock,Flying
568,Trubbish,Poison,329,50,50,62,40,62,65,5,Poison,None
569,Garbodor,Poison,474,80,95,82,60,82,75,5,Poison,None
570,Zorua,Dark,330,40,65,40,80,40,65,5,Dark,None
571,Zoroark,Dark,510,60,105,60,120,60,105,5,Dark,None
572,Minccino,Normal,300,55,50,40,40,40,75,5,Normal,None
573,Cinccino,Normal,470,75,95,60,65,60,115,5,Normal,None
574,Gothita,Psychic,290,45,30,50,55,65,45,5,Psychic,None
575,Gothorita,Psychic,390,60,45,70,75,85,55,5,Psychic,None
576,Gothitelle,Psychic,490,70,55,95,95,110,65,5,Psychic,None
577,Solosis,Psychic,290,45,30,40,105,50,20,5,Psychic,None
578,Duosion,Psychic,370,65,40,50,125,60,30,5,Psychic,None
579,Reuniclus,Psychic,490,110,65,75,125,85,30,5,Psychic,None
580,Ducklett,Water Flying,305,62,44,50,44,50,55,5,Water,Flying
581,Swanna,Water Flying,473,75,87,63,87,63,98,5,Water,Flying
582,Vanillite,Ice,305,36,50,50,65,60,44,5,Ice,None
583,Vanillish,Ice,395,51,65,65,80,75,59,5,Ice,None
584,Vanilluxe,Ice,535,71,95,85,110,95,79,5,Ice,None
585,Deerling,Normal Grass,335,60,60,50,40,50,75,5,Normal,Grass
586,Sawsbuck,Normal Grass,475,80,100,70,60,70,95,5,Normal,Grass
587,Emolga,Electric Flying,428,55,75,60,75,60,103,5,Electric,Flying
588,Karrablast,Bug,315,50,75,45,40,45,60,5,Bug,None
589,Escavalier,Bug Steel,495,70,135,105,60,105,20,5,Bug,Steel
590,Foongus,Grass Poison,294,69,55,45,55,55,15,5,Grass,Poison
591,Amoonguss,Grass Poison,464,114,85,70,85,80,30,5,Grass,Poison
592,Frillish,Water Ghost,335,55,40,50,65,85,40,5,Water,Ghost
593,Jellicent,Water Ghost,480,100,60,70,85,105,60,5,Water,Ghost
594,Alomomola,Water,470,165,75,80,40,45,65,5,Water,None
595,Joltik,Bug Electric,319,50,47,50,57,50,65,5,Bug,Electric
596,Galvantula,Bug Electric,472,70,77,60,97,60,108,5,Bug,Electric
597,Ferroseed,Grass Steel,305,44,50,91,24,86,10,5,Grass,Steel
598,Ferrothorn,Grass Steel,489,74,94,131,54,116,20,5,Grass,Steel
599,Klink,Steel,300,40,55,70,45,60,30,5,Steel,None
600,Klang,Steel,440,60,80,95,70,85,50,5,Steel,None
601,Klinklang,Steel,520,60,100,115,70,85,90,5,Steel,None
602,Tynamo,Electric,275,35,55,40,45,40,60,5,Electric,None
603,Eelektrik,Electric,405,65,85,70,75,70,40,5,Electric,None
604,Eelektross,Electric,515,85,115,80,105,80,50,5,Electric,None
605,Elgyem,Psychic,335,55,55,55,85,55,30,5,Psychic,None
606,Beheeyem,Psychic,485,75,75,75,125,95,40,5,Psychic,None
607,Litwick,Ghost Fire,275,50,30,55,65,55,20,5,Ghost,Fire
608,Lampent,Ghost Fire,370,60,40,60,95,60,55,5,Ghost,Fire
609,Chandelure,Ghost Fire,520,60,55,90,145,90,80,5,Ghost,Fire
610,Axew,Dragon,320,46,87,60,30,40,57,5,Dragon,None
611,Fraxure,Dragon,410,66,117,70,40,50,67,5,Dragon,None
612,Haxorus,Dragon,540,76,147,90,60,70,97,5,Dragon,None
613,Cubchoo,Ice,305,55,70,40,60,40,40,5,Ice,None
614,Beartic,Ice,485,95,110,80,70,80,50,5,Ice,None
615,Cryogonal,Ice,485,70,50,30,95,135,105,5,Ice,None
616,Shelmet,Bug,305,50,40,85,40,65,25,5,Bug,None
617,Accelgor,Bug,495,80,70,40,100,60,145,5,Bug,None
618,Stunfisk,Electric Ground,471,109,66,84,81,99,32,5,Electric,Ground
619,Mienfoo,Fighting,350,45,85,50,55,50,65,5,Fighting,None
620,Mienshao,Fighting,510,65,125,60,95,60,105,5,Fighting,None
621,Druddigon,Dragon,485,77,120,90,60,90,48,5,Dragon,None
622,Golett,Ground Ghost,303,59,74,50,35,50,35,5,Ground,Ghost
623,Golurk,Ground Ghost,483,89,124,80,55,80,55,5,Ground,Ghost
624,Pawniard,Dark Steel,340,45,85,70,40,40,60,5,Dark,Steel
625,Bisharp,Dark Steel,490,65,125,100,60,70,70,5,Dark,Steel
626,Bouffalant,Normal,490,95,110,95,40,95,55,5,Normal,None
627,Rufflet,Normal Flying,350,70,83,50,37,50,60,5,Normal,Flying
628,Braviary,Normal Flying,510,100,123,75,57,75,80,5,Normal,Flying
629,Vullaby,Dark Flying,370,70,55,75,45,65,60,5,Dark,Flying
630,Mandibuzz,Dark Flying,510,110,65,105,55,95,80,5,Dark,Flying
631,Heatmor,Fire,484,85,97,66,105,66,65,5,Fire,None
632,Durant,Bug Steel,484,58,109,112,48,48,109,5,Bug,Steel
633,Deino,Dark Dragon,300,52,65,50,45,50,38,5,Dark,Dragon
634,Zweilous,Dark Dragon,420,72,85,70,65,70,58,5,Dark,Dragon
635,Hydreigon,Dark Dragon,600,92,105,90,125,90,98,5,Dark,Dragon
636,Larvesta,Bug Fire,360,55,85,55,50,55,60,5,Bug,Fire
637,Volcarona,Bug Fire,550,85,60,65,135,105,100,5,Bug,Fire
638,Cobalion,Steel Fighting,580,91,90,129,90,72,108,5,Steel,Fighting
639,Terrakion,Rock Fighting,580,91,129,90,72,90,108,5,Rock,Fighting
640,Virizion,Grass Fighting,580,91,90,72,90,129,108,5,Grass,Fighting
641,Tornadus Incarnate Forme,Flying,580,79,115,70,125,80,111,5,Flying,None
641,Tornadus Therian Forme,Flying,580,79,100,80,110,90,121,5,Flying,None
642,Thundurus Incarnate Forme,Electric Flying,580,79,115,70,125,80,111,5,Electric,Flying
642,Thundurus Therian Forme,Electric Flying,580,79,105,70,145,80,101,5,Electric,Flying
643,Reshiram,Dragon Fire,680,100,120,100,150,120,90,5,Dragon,Fire
644,Zekrom,Dragon Electric,680,100,150,120,120,100,90,5,Dragon,Electric
645,Landorus Incarnate Forme,Ground Flying,600,89,125,90,115,80,101,5,Ground,Flying
645,Landorus Therian Forme,Ground Flying,600,89,145,90,105,80,91,5,Ground,Flying
646,Kyurem Kyurem,Dragon Ice,660,125,130,90,130,90,95,5,Dragon,Ice
646,Kyurem White Kyurem,Dragon Ice,700,125,120,90,170,100,95,5,Dragon,Ice
646,Kyurem Black Kyurem,Dragon Ice,700,125,170,100,120,90,95,5,Dragon,Ice
647,Keldeo Ordinary Forme,Water Fighting,580,91,72,90,129,90,108,5,Water,Fighting
647,Keldeo Resolute Forme,Water Fighting,580,91,72,90,129,90,108,5,Water,Fighting
648,Meloetta Aria Forme,Normal Psychic,600,100,77,77,128,128,90,5,Normal,Psychic
648,Meloetta Pirouette Forme,Normal Fighting,600,100,128,90,77,77,128,5,Normal,Fighting
649,Genesect,Bug Steel,600,71,120,95,120,95,99,5,Bug,Steel
650,Chespin,Grass,313,56,61,65,48,45,38,6,Grass,None
651,Quilladin,Grass,405,61,78,95,56,58,57,6,Grass,None
652,Chesnaught,Grass Fighting,530,88,107,122,74,75,64,6,Grass,Fighting
653,Fennekin,Fire,307,40,45,40,62,60,60,6,Fire,None
654,Braixen,Fire,409,59,59,58,90,70,73,6,Fire,None
655,Delphox,Fire Psychic,534,75,69,72,114,100,104,6,Fire,Psychic
656,Froakie,Water,314,41,56,40,62,44,71,6,Water,None
657,Frogadier,Water,405,54,63,52,83,56,97,6,Water,None
658,Greninja,Water Dark,530,72,95,67,103,71,122,6,Water,Dark
659,Bunnelby,Normal,237,38,36,38,32,36,57,6,Normal,None
660,Diggersby,Normal Ground,423,85,56,77,50,77,78,6,Normal,Ground
661,Fletchling,Normal Flying,278,45,50,43,40,38,62,6,Normal,Flying
662,Fletchinder,Fire Flying,382,62,73,55,56,52,84,6,Fire,Flying
663,Talonflame,Fire Flying,499,78,81,71,74,69,126,6,Fire,Flying
664,Scatterbug,Bug,200,38,35,40,27,25,35,6,Bug,None
665,Spewpa,Bug,213,45,22,60,27,30,29,6,Bug,None
666,Vivillon,Bug Flying,411,80,52,50,90,50,89,6,Bug,Flying
667,Litleo,Fire Normal,369,62,50,58,73,54,72,6,Fire,Normal
668,Pyroar,Fire Normal,507,86,68,72,109,66,106,6,Fire,Normal
669,Flabébé,Fairy,303,44,38,39,61,79,42,6,Fairy,None
670,Floette,Fairy,371,54,45,47,75,98,52,6,Fairy,None
671,Florges,Fairy,552,78,65,68,112,154,75,6,Fairy,None
672,Skiddo,Grass,350,66,65,48,62,57,52,6,Grass,None
673,Gogoat,Grass,531,123,100,62,97,81,68,6,Grass,None
674,Pancham,Fighting,348,67,82,62,46,48,43,6,Fighting,None
675,Pangoro,Fighting Dark,495,95,124,78,69,71,58,6,Fighting,Dark
676,Furfrou,Normal,472,75,80,60,65,90,102,6,Normal,None
677,Espurr,Psychic,355,62,48,54,63,60,68,6,Psychic,None
678,Meowstic Male,Psychic,466,74,48,76,83,81,104,6,Psychic,None
678,Meowstic Female,Psychic,466,74,48,76,83,81,104,6,Psychic,None
679,Honedge,Steel Ghost,325,45,80,100,35,37,28,6,Steel,Ghost
680,Doublade,Steel Ghost,448,59,110,150,45,49,35,6,Steel,Ghost
681,Aegislash Blade Forme,Steel Ghost,520,60,150,50,150,50,60,6,Steel,Ghost
681,Aegislash Shield Forme,Steel Ghost,520,60,50,150,50,150,60,6,Steel,Ghost
682,Spritzee,Fairy,341,78,52,60,63,65,23,6,Fairy,None
683,Aromatisse,Fairy,462,101,72,72,99,89,29,6,Fairy,None
684,Swirlix,Fairy,341,62,48,66,59,57,49,6,Fairy,None
685,Slurpuff,Fairy,480,82,80,86,85,75,72,6,Fairy,None
686,Inkay,Dark Psychic,288,53,54,53,37,46,45,6,Dark,Psychic
687,Malamar,Dark Psychic,482,86,92,88,68,75,73,6,Dark,Psychic
688,Binacle,Rock Water,306,42,52,67,39,56,50,6,Rock,Water
689,Barbaracle,Rock Water,500,72,105,115,54,86,68,6,Rock,Water
690,Skrelp,Poison Water,320,50,60,60,60,60,30,6,Poison,Water
691,Dragalge,Poison Dragon,494,65,75,90,97,123,44,6,Poison,Dragon
692,Clauncher,Water,330,50,53,62,58,63,44,6,Water,None
693,Clawitzer,Water,500,71,73,88,120,89,59,6,Water,None
694,Helioptile,Electric Normal,289,44,38,33,61,43,70,6,Electric,Normal
695,Heliolisk,Electric Normal,481,62,55,52,109,94,109,6,Electric,Normal
696,Tyrunt,Rock Dragon,362,58,89,77,45,45,48,6,Rock,Dragon
697,Tyrantrum,Rock Dragon,521,82,121,119,69,59,71,6,Rock,Dragon
698,Amaura,Rock Ice,362,77,59,50,67,63,46,6,Rock,Ice
699,Aurorus,Rock Ice,521,123,77,72,99,92,58,6,Rock,Ice
700,Sylveon,Fairy,525,95,65,65,110,130,60,6,Fairy,None
701,Hawlucha,Fighting Flying,500,78,92,75,74,63,118,6,Fighting,Flying
702,Dedenne,Electric Fairy,431,67,58,57,81,67,101,6,Electric,Fairy
703,Carbink,Rock Fairy,500,50,50,150,50,150,50,6,Rock,Fairy
